,Neighborhood_FID,geometry,length
0,1,39,1270.316666796779
1,2,172,6029.957877052795
2,3,20,1107.9935235851062
3,4,77,2958.3049002028556
4,5,59,8480.950632173806
5,6,141,7322.686478718678
6,7,41,1765.2875544313156
7,8,245,21416.652152326686
8,9,147,12685.386898586927
9,10,192,15483.942543318266
10,11,152,10351.531877353136
11,12,771,55560.07640574485
12,13,68,8808.470452931473
13,14,264,55873.38035518125
14,15,352,78014.1739638528
15,16,13,1820.7570058208591
16,17,65,6313.089289510524
17,18,163,43819.45599238005
18,19,194,27257.254744617207
19,20,324,38263.037188045135
20,21,302,12147.152452135953
21,22,228,16974.772611305914
22,23,486,12520.963264686727
23,24,197,14407.711338372736
24,25,234,10913.901040401493
25,26,58,5850.209498658422
26,27,93,3716.7234783381127
27,28,85,7848.3965248042305
28,29,231,25190.744508730622
29,30,129,9799.406301671437
30,31,4,1447.1416992660745
31,32,35,3503.875747387398
32,33,57,9556.580103290744
33,34,35,4303.965615211011
34,35,38,3468.5231445346913
35,36,31,3074.978174094692
36,37,10,2668.744114974386
37,38,5,2796.025355455556
38,39,75,18882.99390074013
39,40,165,36604.57382387658
40,41,3,1065.7194484985362
41,42,196,20814.366309516965
42,44,160,17786.756441607373
43,45,15,1664.981003138117
44,46,5,1955.9042627206406
