Neighborhood_FID,Bare vegetation,Built-up,Cropland,Grassland,Herbaceous wetland,Permanent water bodies,Shrubland,Tree Cover
1.0,119,1938,921,3850,18,221,0,4837
2.0,30,2997,929,1442,2,17,0,6005
3.0,31,1204,438,4374,31,33,0,2124
4.0,289,1834,9020,114254,3278,7220,0,11821
5.0,560,18410,739,48884,659,1397,0,9146
6.0,20,1703,3,864,11,5,0,2857
7.0,14,819,1,11190,8,67,0,2405
8.0,0,175,0,2156,27,234,0,1301
9.0,0,608,0,1949,3,791,0,1378
10.0,0,108,0,2406,11,65,0,212
11.0,1,394,0,3902,4,31,0,192
12.0,2,52,104,4602,0,92,0,396
13.0,276,23338,40,18712,17,8,0,15405
14.0,50,3397,8978,35504,69,722,0,6883
15.0,72,8328,5146,11357,29,10,0,5351
16.0,26,2833,20051,9713,210,337,0,4007
17.0,249,9928,5219,8329,4,402,0,8547
18.0,46,5098,0,1830,0,0,0,5604
19.0,670,32679,112,5676,0,7207,0,21464
20.0,190,12648,12,639,0,0,0,4293
21.0,311,22827,43,825,0,2908,0,6837
22.0,119,9453,6,2350,0,6,0,6217
23.0,159,2196,269,16287,171,870,0,12622
24.0,17,50,651,16123,189,5,0,866
25.0,2805,14301,1488,64690,276,11382,0,14630
26.0,7083,23110,1382,18922,290,9586,0,12023
27.0,39,568,359,2945,2,0,0,1109
28.0,3,1425,366,581,0,2,0,2103
29.0,131,4168,4244,5251,0,16,0,1961
30.0,1,250,4295,2257,2,228,0,693
31.0,62,1327,8773,11628,8,450,0,7095
32.0,13,2441,936,5932,0,0,0,4327
33.0,7,667,190,371,4,6,0,2521
34.0,5,169,2102,3178,1,15,0,942
35.0,2,230,570,371,0,0,0,281
36.0,13,477,1630,2169,0,0,0,1176
37.0,25,672,4387,3606,0,347,0,2197
38.0,0,0,58,0,0,25,0,0
42.0,1,30,81,403,0,9,0,35
43.0,356,5389,3161,7666,2,0,0,7485
44.0,0,77,2,51,0,0,0,748
52.0,0,520,224,1238,0,90,0,715
56.0,953,84642,26591,81895,45,941,0,102208
57.0,1,887,1021,1643,0,0,0,2825
58.0,7,2018,446,789,0,0,0,3237
59.0,50,940,4046,4936,1,5,0,3728
60.0,27,2462,3355,6166,1,8,0,4804
61.0,0,1084,0,208,2,457,0,3892
62.0,25,707,0,414,0,145,0,2537
63.0,16,1097,8,736,0,60,0,4317
64.0,15,633,3236,6413,0,0,0,5337
65.0,6,138,1954,1825,1,0,0,2777
66.0,401,8410,6609,15000,7,163,0,16304
67.0,158,5896,5693,15379,0,0,0,11534
68.0,15,152,1230,4084,0,0,0,1947
69.0,19,1804,604,7223,0,1,0,5100
70.0,4,238,2673,8335,0,0,0,2098
72.0,68,3310,9914,12709,5,152,0,13620
73.0,67,1007,9561,27913,0,124,0,7267
74.0,574,2194,10896,79879,339,7222,1,8530
75.0,25,2299,11004,16124,3,36,0,12276
76.0,16,126,6268,25354,0,16,0,2070
77.0,34,29,15339,13147,1,1,0,0
78.0,29,236,553,16394,12,1,0,1220
79.0,43,718,4486,14063,12,0,0,1039
80.0,2,43,6188,18189,1,0,0,114
81.0,44,453,3467,26012,31,3,0,1909
82.0,19,316,1763,20792,139,103,0,371
83.0,223,5227,87,26117,244,5573,0,3216
84.0,61,7765,59,3723,49,2541,0,10228
85.0,267,836,4831,35060,1486,2710,0,5708
86.0,273,5429,2359,13645,2614,6740,0,24216
87.0,409,2493,4115,18546,2646,17665,0,9967
