Neighborhood_FID,Bare vegetation,Built-up,Cropland,Grassland,Herbaceous wetland,Permanent water bodies,Tree Cover
1.0,87,1758,2506,5612,0,0,5178
4.0,0,0,0,0,0,0,5070
6.0,415,7379,14,1802,0,2,28175
7.0,0,0,321,536,0,0,720
8.0,168,5991,13,944,0,0,9551
10.0,6,1529,5,26,0,0,4766
11.0,58,1582,3398,3899,0,0,967
12.0,80,4093,6562,3578,8,112,5100
13.0,352,10243,32,5089,2,2707,17117
15.0,9,1427,0,207,0,0,7679
18.0,109,1128,0,1127,0,0,1539
20.0,565,10459,147,2502,0,1561,7364
24.0,120,7519,1104,1424,0,0,9447
25.0,1314,18395,4327,10590,30,2054,11763
26.0,26,586,8529,2653,0,36,4068
27.0,195,4584,71,742,0,0,1622
28.0,95,296,12778,8533,17,12,5941
32.0,14,759,1563,354,0,0,892
33.0,23,2751,188,3188,0,0,3835
34.0,172,2569,12200,7844,4,90,5225
37.0,0,0,142,129,0,0,534
38.0,5,111,0,37,0,0,7247
39.0,6433,134184,60277,77323,0,326,199775
40.0,650,5508,5,2691,0,0,7013
41.0,6,114,0,0,0,0,12939
42.0,57,3303,2126,3114,0,0,6140
43.0,755,5573,9458,7916,0,8,12309
44.0,57,1781,9,439,0,169,10978
46.0,1167,23227,875,10631,0,2256,18240
47.0,24,352,3,328,0,0,7622
50.0,536,8074,10332,8697,0,1699,8540
51.0,160,5243,26,1309,0,1492,23002
52.0,1871,24483,2762,11598,0,4572,14908
53.0,63,93,0,656,0,0,11793
56.0,2,29,62,1408,0,0,21194
57.0,55,2199,27,4124,0,2773,26638
59.0,3337,2773,3108,3830,7,23,1781
60.0,261,8052,115,1087,0,0,5269
63.0,272,2001,5,956,0,4,4848
64.0,41,928,13841,5309,0,0,1870
65.0,257,110,17871,6745,1,1388,7437
66.0,292,8130,1341,1033,0,0,7802
67.0,61,6787,9,789,0,0,3812
68.0,27,206,0,188,0,0,15899
69.0,47,3397,6872,14773,0,0,7839
70.0,0,15,0,10,0,0,8538
71.0,2117,42953,650,8365,17,5071,15802
73.0,292,9886,72,5970,0,2201,14974
74.0,190,5554,129,760,0,0,4129
75.0,107,4429,4,1328,0,0,3623
76.0,24,6129,16,169,0,0,5051
77.0,64,1325,4366,3815,3,0,2983
79.0,206,2040,20719,9874,0,47,8601
83.0,520,2667,7442,3898,0,0,5680
87.0,111,1134,7407,5143,0,11,2237
88.0,90,5219,706,1261,8,121,7489
92.0,16,1006,0,444,0,0,18352
93.0,206,6914,7,1752,0,152,14192
94.0,6,0,0,10,0,0,20373
95.0,93,31,111,2181,0,0,19861
96.0,64,424,9522,6321,0,0,2011
97.0,75,4741,0,89,0,0,8361
98.0,480,9027,40,4015,0,1205,9385
101.0,6,0,0,5,0,0,17572
102.0,452,9586,3572,10284,0,1,17450
103.0,55,3655,36,4084,0,1347,3133
108.0,574,1384,17297,4742,0,0,5764
109.0,163,995,6701,1811,0,0,1845
112.0,2539,2351,59,3774,0,0,12333
113.0,8,7235,0,59,0,0,5373
114.0,94,3409,563,5884,0,0,174
115.0,965,11708,171,2002,0,135,20681
117.0,0,0,0,0,0,0,9499
118.0,466,5076,300,1466,0,6,10611
120.0,959,14107,34,2156,0,1,11695
121.0,379,7527,29,747,0,0,5680
124.0,369,2520,25107,6579,11,2013,10680
126.0,60,3198,9,1219,0,41,4756
127.0,1145,13966,4955,17570,0,25,26366
129.0,51,6845,9,698,0,0,5904
130.0,79,0,0,331,0,0,10841
131.0,0,0,0,0,0,0,1363
132.0,9,0,0,22,0,0,11652
133.0,120,2369,1,449,0,0,2303
134.0,160,1933,11448,4658,0,0,5308
135.0,40,1675,8,217,0,0,6628
138.0,27,169,1615,2178,0,0,6666
139.0,194,9543,39,4824,0,1202,6484
141.0,371,8981,1246,5751,0,409,2013
142.0,191,1644,5915,1822,0,0,7851
143.0,459,5629,6175,9997,0,11,16537
144.0,326,2683,3809,18875,0,0,23417
149.0,458,8313,255,1569,0,0,5198
150.0,2198,11205,20,2749,0,0,48373
152.0,76,2369,339,598,0,13,5269
153.0,5,287,5132,3230,0,0,1076
155.0,688,9636,1345,3280,0,1,14835
156.0,1,0,0,124,0,0,13803
157.0,13,2423,67,680,0,0,12414
158.0,393,4304,14789,5893,0,7,8853
159.0,5,0,0,53,0,0,12753
162.0,611,7310,23210,17440,0,6,9916
